	sentence	tag
0	I was in the mountains.	0
1	I never liked biology.	0
2	I didn't like it.	0
3	That wasn't my intention.	0
4	One million people lost their lives in the war.	0
5	Did you miss me?	0
6	The wind calmed down.	0
7	Rome wasn't built in a day.	0
8	I made my decision.	0
9	We won the battle.	0
10	I watched TV this morning.	0
11	You had plenty of time.	0
12	He disappeared without a trace.	0
13	We made pancakes for breakfast.	0
14	He came several times.	0
15	I ate caviar.	0
16	I talked to friends.	0
17	You broke the rule.	0
18	You dropped your pencil.	0
19	You surprised everybody.	0
20	I received your letter yesterday.	0
21	I was disappointed with your paper.	0
22	He came after you left.	0
23	I felt hungry.	0
24	The sky brightened.	0
25	I escaped death.	0
26	He became rich.	0
27	I gave him what little money I had.	0
28	You startled me!	0
29	The professor smiled.	0
30	The burglar broke into the post office in broad daylight.	0
31	I got a fish bone stuck in my throat.	0
32	I hurried home.	0
33	Our train stopped suddenly.	0
34	There were two abstentions.	0
35	A cat appeared from under the desk.	0
36	An error was made.	0
37	The cold weather kept us indoors.	0
38	Stock prices dropped.	0
39	It's a piece of cake.	0
40	Half the students were absent.	0
41	It was pitch black outside.	0
42	All were satisfied.	0
43	They went to the beach.	0
44	The ocean was calm.	0
45	We thought much of his first novel.	0
46	We went to the museum.	0
47	We argued politics.	0
48	We arrived first.	0
49	We took turns driving the car.	0
50	We actually saw the accident.	0
51	Our flight was canceled.	0
52	The fire went out.	0
53	The furniture was dusty.	0
54	The house was in flames.	0
55	Did you go anywhere during the summer vacation?	0
56	I live in Kakogawa.	0
57	We made it out of there.	0
58	It was nothing.	0
59	What happened, Sally?	0
60	Was I wrong?	0
61	The moment she arrived at the station, she phoned her mother.	0
62	My poor English cost me my job.	0
63	Did you enjoy the film?	0
64	It is wrong to tell a lie.	0
65	It rained nonstop.	0
66	It rained heavily.	0
67	It began to sprinkle.	0
68	Some newspapers distorted the news.	0
69	He worked hard.	0
70	I began living by myself.	0
71	He took a week off.	0
72	The well ran dry.	0
73	The doctors wore white masks over their mouths and noses.	0
74	I lost consciousness.	0
75	The committee passed the bill.	0
76	I had a nightmare.	0
77	I got sick.	0
78	I meant no harm.	0
79	I saw him run away.	0
80	I wanted to go there.	0
81	Our team lost.	0
82	Linda stuck her tongue out.	0
83	Lincoln died in 1865.	0
