as_tags,type
"['PRP', 'VBP', 'TO', 'VB', 'TO', 'VB', '.']",present simple
"['PRP', 'VBP', 'IN', 'PRP$', 'NN', '.']",present simple
"['PRP', 'VBP', 'PRP', '.']",present simple
"['NNP', 'RP', '.']",present simple
"['PRP', 'VBZ', 'RB', 'VB', 'PRP', '.']",present simple
"['PRP', 'VBZ', 'IN', 'DT', 'NN', '.']",present simple
"['PRP', 'VBP', 'RB', 'JJ', '.']",present simple
"['DT', 'VBZ', 'VBG', '.']",present simple
"['DT', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'VBG', 'TO', 'PRP', '.']",present simple
"['PRP', 'VBP', 'NN', '.']",present simple
"['WRB', 'VBZ', 'DT', 'NN', '.']",present simple
"['PRP', 'VBP', 'PRP', '.']",present simple
"['PRP', 'VBP', 'JJ', '.']",present simple
"['PRP', 'VBP', 'NN', '.']",present simple
"['VBP', 'RB', 'VB', 'PRP$', 'NN', '.']",present simple
"['DT', 'VBZ', 'DT', 'NN', '.']",present simple
"['NN', 'VBZ', 'PRP', '.']",present simple
"['VB', 'PRP', 'VB', 'IN', 'EX', 'VBZ', 'NN', 'PRP', 'MD', 'VB', '.']",present simple
"['NNP', 'VBZ', 'DT', 'NN', '.']",present simple
"['PRP', 'VBZ', 'DT', 'NN', '.']",present simple
"['PRP', 'VBP', 'NN', 'VBZ', 'RB', '.']",present simple
"['DT', 'JJ', 'JJ', 'NNS', 'VBP', 'DT', 'IN', 'VBP', 'JJ', 'NNS', '.']",present simple
"['DT', 'VBZ', 'RB', 'JJ', '.']",present simple
"['NN', 'IN', 'NN', 'VBZ', 'RB', 'RB', 'JJ', '.']",present simple
"['VB', 'PRP', 'VB', 'IN', 'PRP', 'VBP', 'TO', 'VB', 'DT', 'NNS', '.']",present simple
"['VB', 'WDT', 'PRP', 'VBZ', 'PRP', '.']",present simple
"['PRP', 'VBP', 'DT', 'NN', '.']",present simple
"['PRP', 'VBP', 'JJ', '.']",present simple
"['PRP$', 'NN', 'VBZ', 'NNP', '.']",present simple
"['PRP', 'VBP', 'PRP', 'RB', 'RB', '.']",present simple
"['NNP', 'VBZ', 'DT', 'RB', 'JJ', 'NN', '.']",present simple
"['VBZ', 'PRP', 'JJ', '.']",present simple
"['NNP', 'PRP', 'DT', 'NN', ',', 'NN', '.', '``', 'RB', 'PRP', 'VBP', '.', ""''""]",present simple
"['PRP', 'VBZ', 'RB', 'JJ', 'NN', '.']",present simple
"['NN', 'IN', 'PRP', 'WRB', 'PRP', 'VBP', 'TO', 'PRP', '.']",present simple
"['PRP', 'VBP', 'JJ', '.']",present simple
"['PRP', 'VBP', 'DT', 'NN', '.']",present simple
"['PRP', 'VBP', 'RB', 'VB', 'RB', '.']",present simple
"['VB', 'DT', 'NN', '.']",present simple
"['VBP', 'RB', 'VB', 'WP', 'PRP', 'VBP', '.', 'VB', 'WP', 'PRP', 'VBP', '.']",present simple
"['PRP', 'VBP', 'PRP', 'PRP$', 'NN', '.']",present simple
"['VB', 'DT', 'NN', 'CC', 'VB', 'PRP', '.']",present simple
"['PRP', 'VBZ', 'RB', 'DT', 'NN', '.']",present simple
"['VB', 'PRP', 'DT', 'NN', 'CC', 'PRP', 'MD', 'VB', 'DT', 'NN', '.']",present simple
"['PRP', 'VBP', 'PRP$', 'NN', '.']",present simple
"['NNP', 'VBZ', 'JJ', '.']",present simple
"['PRP', 'VBP', 'NN', '.']",present simple
"['PRP', 'VBP', 'JJ', 'DT', 'NN', '.']",present simple
"['RB', 'DT', 'NN', 'WRB', 'PRP', 'VBP', '.']",present simple
"['DT', 'VBZ', 'JJ', 'DT', 'JJ', 'NN', '.']",present simple
"['PRP', 'VBP', 'RB', 'VBN', '.']",present simple
"['PRP', 'VBP', 'NN', 'NN', '.']",present simple
"['NN', 'VBZ', 'PRP$', 'JJ', 'NN', '.']",present simple
"['VB', 'PRP', 'TO', 'VB', 'PRP', 'IN', 'PRP', 'VBP', '.']",present simple
"['PRP', 'VBZ', 'DT', 'JJ', 'NN', '.']",present simple
"['VBP', 'RB', 'VB', 'IN', 'PRP', '.']",present simple
"['PRP', 'VBP', 'PRP$', 'NN', '.']",present simple
"['VB', 'JJ', 'NN', 'IN', 'PRP', '.']",present simple
"['PRP', 'VBZ', 'DT', 'JJ', 'NN', '.']",present simple
"['VBP', 'PRP', 'IN', 'NN', '.']",present simple
"['PRP', 'VBP', 'NNS', '.']",present simple
"['DT', 'VBZ', 'DT', 'NN', '.']",present simple
"['PRP', 'VBP', 'RB', 'VB', 'PRP', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['NNP', 'RB', '.', 'PRP', 'VBP', 'VBG', 'TO', 'VB', 'PRP', 'WRB', 'PRP', 'VBZ', 'VBN', '.']",present simple
"['VB', 'PRP', 'WRB', 'PRP', 'VBP', 'PRP', '.']",present simple
"['DT', 'NN', 'VBZ', 'JJ', 'NN', '.']",present simple
"['NNP', 'IN', 'DT', 'NN', 'NN', '.']",present simple
"['PRP', 'VBZ', 'RB', 'VBN', '.']",present simple
"['PRP', 'VBZ', 'DT', 'JJ', 'NN', '.']",present simple
"['VB', 'IN', 'PRP', 'VBP', '.']",present simple
"['VB', 'PRP$', 'NN', '.']",present simple
"['VB', 'PRP', 'IN', 'NN', '.']",present simple
"['PRP', 'VBP', 'WRB', '.']",present simple
"['VBP', 'RB', 'VB', 'DT', 'NN', '.']",present simple
"['VB', 'PRP', 'WP', 'VBD', '.']",present simple
"['VB', 'PRP', 'IN', 'PRP', '.']",present simple
"['NNP', 'VBZ', 'RB', 'NN', '.']",present simple
"['PRP', 'VBP', 'RB', 'IN', 'NNP', '.']",present simple
"['PRP', 'VBZ', 'JJ', 'IN', 'PRP', '.']",present simple
"['PRP', 'VBP', 'PRP', '.']",present simple
"['VB', 'PRP', 'VB', 'WP', 'PRP', 'VBZ', '.']",present simple
"['PRP', 'VBP', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBP', 'VBG', 'RB', 'JJ', '.', 'VB', 'PRP', 'JJ', 'IN', 'DT', 'NN', '.']",present simple
"['VB', 'PRP', 'VB', 'RB', '.']",present simple
"['PRP', 'VBP', 'JJ', 'IN', 'PRP', '.']",present simple
"['PRP', 'VBP', 'VBN', '.']",present simple
"['PRP', 'VBP', 'TO', 'VB', 'DT', 'JJ', 'NN', '.']",present simple
"['PRP', 'VBP', 'RB', '.']",present simple
"['PRP', 'VBP', 'JJ', 'NN', '.']",present simple
"['PRP', 'VBD', 'DT', 'JJ', 'NN', '.']",present simple
"['PRP', 'VBP', 'JJ', '.']",present simple
"['PRP', 'VBP', 'JJ', '.']",present simple
"['PRP', 'VBP', 'RB', 'RB', '.']",present simple
"['VBP', 'PRP', 'VB', 'CD', '.']",present simple
"['PRP', 'VBP', 'RB', 'DT', 'NN', '.']",present simple
"['PRP', 'VBP', 'JJ', '.']",present simple
"['PRP', 'VBP', 'PRP$', 'NN', 'RB', '.']",present simple
"['PRP', 'VBP', 'PRP$', 'NN', '.']",present simple
"['VB', 'PRP$', 'NN', 'IN', 'NNS', '.']",present simple
"['PRP$', 'NN', 'VBZ', 'RB', 'DT', 'NN', 'RB', '.']",present simple
"['WP', 'VBZ', 'PRP$', 'JJ', 'NN', '.']",present simple
"['PRP$', 'NN', 'VBZ', 'IN', 'DT', 'NN', '.']",present simple
"['PRP', 'VBZ', 'PRP$', 'NN', '.']",present simple
"['VB', 'PRP', 'IN', 'PRP$', 'JJ', 'NN', '.']",present simple
"['VB', 'PRP$', 'NNS', 'IN', 'DT', 'NN', 'POS', '.']",present simple
"['VB', 'PRP$', 'NN', 'IN', 'NNP', 'POS', '.']",present simple
"['PRP$', 'NN', 'VBZ', 'JJ', '.']",present simple
"['NNP', 'CC', 'VB', 'PRP', 'WRB', 'PRP', 'VBZ', 'JJ', 'IN', 'PRP', '.']",present simple
"['VB', 'PRP$', 'NN', 'IN', 'PRP', '.']",present simple
"['VB', 'PRP$', 'JJ', 'NN', '.']",present simple
"['VB', 'RB', 'TO', 'PRP$', 'NN', '.']",present simple
"['PRP', 'VBP', 'PRP$', 'NN', '.']",present simple
"['VB', 'PRP$', 'NN', 'RB', '.']",present simple
"['VB', 'RP', 'DT', 'NN', 'IN', 'NNP', 'POS', 'IN', 'PRP$', 'NN', '.']",present simple
"['VB', 'RP', 'DT', 'NNS', 'IN', 'PRP$', 'NN', '.']",present simple
"['VBZ', 'PRP$', 'NN', 'NN', '.']",present simple
"['RB', 'VB', 'PRP$', 'NN', '.']",present simple
"['VB', 'PRP$', 'NN', 'IN', 'DT', 'NN', '.']",present simple
"['NN', 'TO', 'PRP', 'DT', 'JJ', 'NN', 'PRP', 'VBP', 'IN', '.']",present simple
"['NNP', 'PRP$', 'NN', 'RB', '.']",present simple
"['VB', 'PRP$', 'JJ', 'NN', '.']",present simple
"['VB', 'IN', 'PRP', 'VBP', '.']",present simple
"['VB', 'PRP$', 'NN', '.']",present simple
"['PRP', 'VBP', 'WP', 'PRP', 'VBP', '.']",present simple
"['VB', 'PRP', 'DT', 'NN', 'IN', 'PRP$', 'NN', '.']",present simple
"['VB', 'PRP', 'IN', 'PRP$', 'NN', '.']",present simple
"['VB', 'PRP$', 'NN', 'IN', 'PRP', 'VBZ', '.']",present simple
"['VB', 'DT', 'NN', 'IN', 'PRP$', 'NN', '.']",present simple
"['PRP$', 'NNP', 'VBZ', 'JJ', '.']",present simple
"['VB', 'DT', 'JJ', 'NN', 'IN', 'PRP$', 'NN', '.']",present simple
"['PRP$', 'NN', 'VBZ', 'JJ', '.']",present simple
"['PRP', 'VBP', 'PRP', '.']",present simple
"['PRP', 'VBP', 'IN', 'PRP', '.']",present simple
"['PRP', 'VBP', 'JJ', '.']",present simple
"['PRP', 'VBP', 'VBN', 'IN', 'PRP', '.']",present simple
"['VB', 'PRP$', 'NN', 'IN', 'PRP$', 'JJ', 'NN', '.']",present simple
"['IN', 'DT', 'NN', 'IN', 'PRP', 'CD', '.']",present simple
"['VB', 'PRP$', 'NN', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN', '.']",present simple
"['VB', 'PRP$', 'NN', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN', '.']",present simple
"['VBP', 'RB', 'PRP', 'VB', 'IN', 'RB', '.']",present simple
"['PRP', 'VBP', 'PRP', '.']",present simple
"['PRP', 'VBP', 'PRP', '.']",present simple
"['VB', 'PRP', 'WP', 'PRP', 'VBD', '.']",present simple
"['VB', 'WP', 'PRP', 'VBP', 'VBZ', 'JJ', '.']",present simple
"['VB', 'PRP', 'DT', 'NN', 'IN', 'PRP', 'VBD', 'NN', '.']",present simple
"['VB', 'DT', 'NN', 'PRP', 'IN', 'DT', 'JJS', '.']",present simple
"['PRP', 'VBP', 'PRP', 'VBP', 'JJ', '.']",present simple
"['VB', 'JJ', 'TO', 'VB', 'RP', 'DT', 'NN', 'IN', 'PRP', 'VBP', '.']",present simple
"['VB', 'TO', 'VB', 'WRB', 'JJ', 'PRP', 'VBP', 'IN', 'NNS', '.']",present simple
"['PRP', 'VBP', 'RB', 'VB', 'PRP', '.']",present simple
"['VB', 'RP', 'PRP$', 'NNS', ',', 'NN', '.']",present simple
"['VB', 'IN', 'PRP$', 'NNS', '.', 'VB', 'POS', 'VB', 'RP', 'IN', 'NN', '.']",present simple
"['VB', 'IN', 'PRP$', 'NNS', '.']",present simple
"['VB', 'RP', 'PRP$', 'NNS', '.']",present simple
"['VB', 'PRP$', 'NNS', 'DT', 'JJ', 'NN', '.']",present simple
"['VB', 'PRP$', 'NNS', '.']",present simple
"['VBP', 'RB', 'VB', 'PRP', 'RP', 'TO', 'NN', '.']",present simple
"['NNP', 'IN', 'DT', 'NNS', '.']",present simple
"['NNP', 'IN', 'DT', 'NNS', 'IN', 'JJ', 'NNS', '.']",present simple
